mssv,dien_tt,diem_tt,lop12_matinh,lop12_matruong,TEN_TRUONG
809877DCXPvAibaEXe8/3iNqySORb/0vLoIti8Og,THPT,1.0,2.0,2.0,THPT Bùi Thị Xuân
1A43FBA2XPvAibaEXe9lF2o7VejWNgmxmYTmCfqU,THPT,0.7666666666666667,36.0,30.0,THPT Trần Quốc Tuấn
C02BE079XPvAibaEXe9lF2o7VejWNqKPnWIO0VRS,THPT,0.8166666666666667,42.0,6.0,THCS&THPT Đống Đa
6941EDCFXPvAibaEXe9lF2o7VejWNigZWDBEXchf,THPT,0.8,48.0,23.0,THPT Long Thành
3622E58BXPvAibaEXe9lF2o7VejWNjkH+xdoXpbr,THPT,0.85,2.0,56.0,THPT Nguyễn Thái Bình
603115A9XPvAibaEXe9lF2o7VejWNmxlsu7sojKq,THPT,0.9,2.0,59.0,THPT Tân Bình
A5889011XPvAibaEXe9lF2o7VejWNht67pu11G7v,THPT,0.8666666666666667,46.0,44.0,THPT Lộc Hưng (Trước 01/02/2020)
9C8782A5XPvAibaEXe9lF2o7VejWNskIJ3b/KH8Y,THPT,0.9333333333333333,41.0,15.0,THPT Lý Tự Trọng
B4DF0E0BXPvAibaEXe9lF2o7VejWNjZnP3XERPYN,THPT,0.8,63.0,17.0,THPT Trường Chinh
17946C80XPvAibaEXe9lF2o7VejWNoJR7PTzcZwM,THPT,0.8333333333333334,4.0,5.0,THPT chuyên Lê Quý Đôn
A27E2507XPvAibaEXe+yU1j0ocViqQmevvgfIZi+,THPT,0.9,2.0,50.0,THPT Trường Chinh
61886879XPvAibaEXe+yU1j0ocViqfTUK2EbVhjZ,THPT,0.9,48.0,6.0,THPT Nguyễn Trãi
DEA3783EXPvAibaEXe+yU1j0ocViqZOr0fWYBAOj,THPT,0.85,48.0,21.0,THPT Xuân Lộc
AE78A5C2XPvAibaEXe+yU1j0ocViqV7UP2kSRFnX,THPT,0.8666666666666667,44.0,21.0,THPT Nguyễn Trãi
CAF1C679XPvAibaEXe+yU1j0ocViqc3aOVuIyn2Y,THPT,0.9166666666666666,41.0,12.0,THPT Nguyễn Trãi
9E398853XPvAibaEXe+yU1j0ocViqeu3f7/HMvAo,THPT,0.85,2.0,262.0,THCS THPT Tân Phú
