mssv,ngaythi,url,loaixn,tongdiem,ngay_xet_loai,thoi_gian_nop_bang,ket_qua_xet_loai,year,month,day
95088426XPvAibaEXe8ndFTCadX+eGlzr/9msY//,2020-08-19,bangcap/19521357/19521357_bangcap_DGNL_20210315223130.jpg,DGNL,350.0,2021-04-16 21:13:57.343387471,2021-03-15,,2021,4,16
952C44D0XPvAibaEXe+BUGeEgVnB4MoxuXfF+wu5,,https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/15520977/15520977_chungchi_TOEIC_LR_20190220153732.jpg,TOEIC_LR,685.0,2019-04-12 15:30:01.000000000,2019-02-20,,2019,4,12
953A77B9XPvAibaEXe/0VyaRB0LQpHtyejN9MHOh,2021-04-04,bangcap/18520600/18520600_bangcap_TOEIC_LR_20210425152722.jpg,TOEIC_LR,795.0,2021-05-27 16:17:45.000000000,2021-04-25,,2021,5,27
9558786EXPvAibaEXe8DnlmqQfnjpus66s+lpwaf,2020-08-22,https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/18521630/18521630_chungchi_TOEIC_LR_20200910153736.jpg,TOEIC_LR,805.0,2020-09-24 10:09:35.000000000,2020-09-10,,2020,9,24
95B284C9XPvAibaEXe/A+LHGtXv8v5yD9Z+2lNZC,2019-09-28,bangcap/16520674/16520674_bangcap_IELTS_20200919192924.jpeg,IELTS,7.0,2020-10-28 10:50:10.000000000,2020-09-19,,2020,10,28
95B39BF1XPvAibaEXe8zLanLNVS12UiZ9ihLAy4F,2018-12-29,bangcap/15520701/15520701_bangcap_TOEIC_LR_20190303004826.jpg,TOEIC_LR,615.0,2019-04-12 15:21:57.000000000,2019-03-03,,2019,4,12
95D5E290XPvAibaEXe9YYF5FMCfolGAWKjQ6W2Dh,2019-01-23,bangcap/15520639/15520639_bangcap_TOEIC_LR_20190123092304.jpg,TOEIC_LR,570.0,2019-04-12 15:35:31.000000000,2019-01-23,,2019,4,12
95D5E290XPvAibaEXe9YYF5FMCfolGAWKjQ6W2Dh,2020-08-21,bangcap/15520639/15520639_bangcap_TOEIC_SW_20200903190322.png,TOEIC_SW,215.0,2020-10-05 21:13:57.343387471,2020-09-03,,2020,10,5
95FDEA09XPvAibaEXe+gzQv7yQRYbqP5D2KQcxW/,2021-01-29,bangcap/18521145/18521145_bangcap_TOEIC_LR_20210208204932.jpg,TOEIC_LR,565.0,2021-03-12 21:13:57.343387471,2021-02-08,,2021,3,12
96195CF9XPvAibaEXe9cYfl6D6BtPFPtgzuBfGWm,2020-02-16,bangcap/14520826/14520826_bangcap_TOEIC_LR_20200522133709.jpeg,TOEIC_LR,775.0,2020-06-08 11:07:00.000000000,2020-05-22,,2020,6,8
962B588DXPvAibaEXe8808q51BnmQv7uo+CT+yEW,2021-04-18,bangcap/16521807/16521807_bangcap_TOEIC_LR_20210516120935.jpg,TOEIC_LR,795.0,2021-05-27 16:17:45.000000000,2021-05-16,,2021,5,27
96356A30XPvAibaEXe+/MvKIb2VAVS0s4jJCw70Q,2020-07-14,bangcap/16520981/16520981_bangcap_VNU-EPT_20200821141345.jpeg,VNU-EPT,272.0,2020-09-22 21:13:57.343387471,2020-08-21,,2020,9,22
96529AF5XPvAibaEXe/4WyTnp6RTwunT9oJNvneX,2020-11-23,bangcap/17520782/17520782_bangcap_TOEIC_LR_20210227090316.jpg,TOEIC_LR,725.0,2021-03-31 21:13:57.343387471,2021-02-27,,2021,3,31
9677CA8EXPvAibaEXe/3Z2K7mhA0JTfEPM2on6mh,2020-08-26,bangcap/15520030/15520030_bangcap_TOEIC_SW_20200910191339.png,TOEIC_SW,185.0,2020-09-15 09:03:18.000000000,2020-09-10,,2020,9,15
9677CA8EXPvAibaEXe/3Z2K7mhA0JTfEPM2on6mh,2020-08-20,bangcap/15520030/15520030_bangcap_TOEIC_LR_20200910191818.jpg,TOEIC_LR,485.0,2020-09-21 14:07:54.000000000,2020-09-10,,2020,9,21
96967470XPvAibaEXe9upvU5DvuC9vY0bll+Ov+G,2018-09-04,bangcap/13520484/13520484_bangcap_TOEIC_LR_20180918200224.jpg,TOEIC_LR,680.0,2018-10-24 10:57:32.000000000,2018-09-18,,2018,10,24
96CB2E4CXPvAibaEXe/SxwNRab2vgGCo9Yp9KIgz,2017-09-09,bangcap/13520924/13520924_bangcap_TOEIC_LR_20190828204804.jpeg,TOEIC_LR,635.0,2019-10-22 10:48:33.000000000,2019-08-28,,2019,10,22
97132B91XPvAibaEXe8aLAPPdCF+afPSzj+EDxIb,,https://qldt.uit.edu.vn/sites/default/files/sinhvien/chungchi/17520393/17520393_chungchi_TOEIC_LR_20181228085003.jpg,TOEIC_LR,365.0,2019-01-21 10:43:22.000000000,2018-12-28,,2019,1,21
97132B91XPvAibaEXe8aLAPPdCF+afPSzj+EDxIb,2020-11-22,bangcap/17520393/17520393_bangcap_TOEIC_LR_20201219223725.jpg,TOEIC_LR,495.0,2021-01-13 15:42:11.000000000,2020-12-19,,2021,1,13
9776479FXPvAibaEXe/VnvhYBb4TNM5Hh0XsKwYo,2020-08-22,bangcap/19520794/19520794_bangcap_TOEIC_LR_20200911094635.jpg,TOEIC_LR,655.0,2020-09-24 10:02:03.000000000,2020-09-11,,2020,9,24
979A928AXPvAibaEXe/lOccskaOiO+maJG9wgnrj,,bangcap/13520238/13520238_bangcap_TOEIC_LR_20180204165915.jpg,TOEIC_LR,460.0,2018-04-12 09:39:40.000000000,2018-02-04,,2018,4,12
97F147AEXPvAibaEXe8u6ih8pRJJpISXbTVPztKI,2014-06-27,bangcap/15520564/15520564_bangcap_TOEIC_LR_20190319094213.jpg,TOEIC_LR,575.0,2019-04-12 15:05:44.000000000,2019-03-19,,2019,4,12
97F147AEXPvAibaEXe8u6ih8pRJJpISXbTVPztKI,2019-08-24,bangcap/15520564/15520564_bangcap_TOEIC_SW_20200305092649.png,TOEIC_SW,220.0,2020-04-14 15:51:53.000000000,2020-03-05,,2020,4,14
983F78B5XPvAibaEXe/lyY7+7E9oixr3VdzJeHvc,2019-05-25,bangcap/15520866/15520866_bangcap_TOEIC_LR_20200217213120.jpg,TOEIC_LR,660.0,2020-03-28 15:06:36.000000000,2020-02-17,,2020,3,28
