mssv,term 1,term 2,term 3,term 4,term 5,term 6,term 7,term 8,term 9,term 10,term 11,term 12,term 13,term 14,term 15,term 16
03266385XPvAibaEXe/lSUoyv6mJfDFTmyu2MlmG,85,85,81,81,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1
0330BA3CXPvAibaEXe8Z5hiNBvM0RW96I9r3cKzN,90,100,100,100,100,96,99,-1,-1,-1,-1,-1,-1,-1,-1,-1
0336A8FDXPvAibaEXe97q47CdxnNZKAUu5+2jDyf,85,85,83,81,60,76,65,85,83,65,70,50,61,-1,-1,-1
0339FEA3XPvAibaEXe/67dyjFFUOJsO0SSal/unw,85,100,90,79,91,87,77,74,74,66,58,-1,-1,-1,-1,-1
033C5F00XPvAibaEXe/k1FtQjAVbeqWlCvlUgwhY,85,85,81,81,72,72,85,75,-1,-1,-1,-1,-1,-1,-1,-1
034628B2XPvAibaEXe+1q4RcodP1hCvlWReLjjvi,60,44,61,76,69,62,73,56,25,50,44,-1,-1,-1,-1,-1
0349C6B8XPvAibaEXe80b1fr0fH/JkdDh3dWSII8,86,52,67,63,80,80,76,70,53,-1,-1,-1,-1,-1,-1,-1
034B4FD8XPvAibaEXe85dXQU86uLqjYaJrhqTPFA,65,65,79,79,74,74,100,85,-1,-1,-1,-1,-1,-1,-1,-1
0356BA29XPvAibaEXe/i44g6992J04DlKo1DQNSP,95,90,100,100,100,100,96,-1,-1,-1,-1,-1,-1,-1,-1,-1
035AEF81XPvAibaEXe/y2t7DVG8TDXVGQmvbKE12,80,80,65,82,75,58,66,80,75,-1,-1,-1,-1,-1,-1,-1
0368E395XPvAibaEXe8Hc2wHUxgky4xlonemdAzO,90,91,79,76,84,64,76,-1,-1,-1,-1,-1,-1,-1,-1,-1
0375F69FXPvAibaEXe9JdUmjPcaT8kzHYZ2eSjwX,84,87,87,66,66,82,82,89,76,68,76,-1,-1,-1,-1,-1
037AF85BXPvAibaEXe+cQfs8oDok9/c/FI5YLNUF,70,70,74,74,66,66,81,72,-1,-1,-1,-1,-1,-1,-1,-1
037C3BF2XPvAibaEXe+EAlU+wSWpDZ0GbMgeWH3/,90,100,100,74,91,100,83,-1,-1,-1,-1,-1,-1,-1,-1,-1
03816B23XPvAibaEXe/1Yakz2BGJTcBso5ZBcYrz,95,100,100,100,100,99,74,-1,-1,-1,-1,-1,-1,-1,-1,-1
0388C53EXPvAibaEXe9F2tx/ToPx3FKeDTdDjuhB,78,81,85,75,76,80,98,81,83,58,58,-1,-1,-1,-1,-1
03918911XPvAibaEXe8uDPDBBTbYrBR+erGSTT5q,100,100,100,100,100,100,97,-1,-1,-1,-1,-1,-1,-1,-1,-1
0394FD62XPvAibaEXe9D0puFBsAtkmu/3f4p7oUp,80,85,96,95,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1
03978FABXPvAibaEXe8TwY0YV57PPw2lKLNjJWhO,82,75,72,57,85,49,68,47,-1,-1,-1,-1,-1,-1,-1,-1
0397E523XPvAibaEXe+q0E3QguGBpXo0jV2oyFig,85,83,95,80,91,80,89,56,58,-1,-1,-1,-1,-1,-1,-1
0398BD47XPvAibaEXe+1qnC7LACO/Xq5fbBTAgzN,100,90,91,69,70,71,87,56,58,-1,-1,-1,-1,-1,-1,-1
039A0530XPvAibaEXe9qFVjW5nX81liy3aqQACmT,75,75,73,73,68,68,88,66,-1,-1,-1,-1,-1,-1,-1,-1
039A40EBXPvAibaEXe/sW+jVmHnQGlexsxcKegMx,71,83,90,90,81,75,81,94,58,63,-1,-1,-1,-1,-1,-1
03A27B34XPvAibaEXe+XuNgf2Sify1FkYwDf2m0F,95,82,84,93,98,98,93,-1,-1,-1,-1,-1,-1,-1,-1,-1
03A3D9C8XPvAibaEXe9BBpfz7z4Pk9KBReewvJdc,85,63,82,75,51,78,92,69,45,58,58,-1,-1,-1,-1,-1
03B1BF87XPvAibaEXe83EtiN4MI2ns5qclkPljKC,88,78,78,90,90,67,86,85,64,68,70,-1,-1,-1,-1,-1
03B3F65FXPvAibaEXe+QJ0MB5TsYNe5nyw6HufAr,80,75,76,75,72,72,66,80,84,70,-1,-1,-1,-1,-1,-1
03C79B24XPvAibaEXe+PAOVcd+LnOZDHTOc4IJv0,75,67,66,71,80,73,80,75,68,50,-1,-1,-1,-1,-1,-1
03CB7299XPvAibaEXe8+aAi1Gdg/oeiDyX3N6SMV,65,65,75,75,78,78,74,69,-1,-1,-1,-1,-1,-1,-1,-1
03CB8DC4XPvAibaEXe+4XPPXlKRz0LWy5kJsvBRv,93,81,71,77,80,68,76,85,66,65,-1,-1,-1,-1,-1,-1
03CD7CB3XPvAibaEXe/s5yot2gW0OidjjAWFnAcR,87,70,74,72,76,70,84,68,-1,-1,-1,-1,-1,-1,-1,-1
03E9147DXPvAibaEXe+NnQrnI1K9JMnAja73zCHH,90,90,81,75,93,83,86,76,66,66,-1,-1,-1,-1,-1,-1
03ECE99EXPvAibaEXe8NoNh54Mn6M+2xXKb+BCMr,79,61,64,61,80,74,76,80,75,-1,-1,-1,-1,-1,-1,-1
03F0FDF5XPvAibaEXe81r7KrCH0uc/DWUtJIS0l8,68,74,75,75,66,66,58,-1,-1,-1,-1,-1,-1,-1,-1,-1
03F181B0XPvAibaEXe+7uLWSh9XvQs9BhtrBVBeU,64,67,90,80,76,75,81,81,-1,-1,-1,-1,-1,-1,-1,-1
03FD4379XPvAibaEXe+x2tIgaKoPl84jedyxSAOo,56,56,74,69,75,68,15,-1,-1,-1,-1,-1,-1,-1,-1,-1
0402B932XPvAibaEXe9xHju59ydahTjwi8JiBa4z,89,72,64,74,85,80,80,75,-1,-1,-1,-1,-1,-1,-1,-1
