id,mssv,total,mamh,khoahoc,namhoc,hedt,english_evaluted
1705.0,63B99375XPvAibaEXe+L4+qEMJ/L9T/sfHR+BFr1,43.0,ENG01,12.0,2017.0, CLC,3.5
1706.0,7CE35C08XPvAibaEXe+L4+qEMJ/L9ayGXcYW/1jo,75.0,ENG02,12.0,2017.0, CLC,5.25
1707.0,9347378BXPvAibaEXe+L4+qEMJ/L9fmuPiPqn+X5,55.0,ENG01,12.0,2017.0, CLC,3.5
1708.0,DE60D948XPvAibaEXe8B6jbWYL2ytIVca7+xa+fX,29.0,AVSC,12.0,2017.0, CQUI,1.75
1709.0,D1D5D865XPvAibaEXe8B6jbWYL2ytInXWMU368ct,28.0,AVSC,12.0,2017.0, CQUI,1.75
1710.0,BB557CEBXPvAibaEXe8B6jbWYL2ytMUhmW+0CYlZ,64.0,ENG01,12.0,2017.0, CQUI,3.5
1711.0,BA30EE30XPvAibaEXe8B6jbWYL2ytKLky20f+13D,46.0,ENG01,12.0,2017.0, CQUI,3.5
1712.0,80C9E79AXPvAibaEXe8B6jbWYL2ytJw1GV8fZ6RW,48.0,ENG01,12.0,2017.0, CQUI,3.5
1713.0,877F427EXPvAibaEXe8B6jbWYL2ytARzv0I6OK9u,87.0,ENG02,12.0,2017.0, CLC,5.25
1714.0,7A4B058DXPvAibaEXe8B6jbWYL2ytI8EiZkUrCsw,45.0,ENG01,12.0,2017.0, CTTT,3.5
1715.0,011E3613XPvAibaEXe8B6jbWYL2ytDqlxqdI7VkC,81.0,ENG02,12.0,2017.0, CLC,5.25
1716.0,AC064BB4XPvAibaEXe8B6jbWYL2ytEx6waLJlrNC,52.0,ENG01,12.0,2017.0, CLC,3.5
1717.0,014AB13EXPvAibaEXe8B6jbWYL2ytNvhs0daeuVk,55.0,ENG01,12.0,2017.0, CQUI,3.5
1718.0,74B42B90XPvAibaEXe8t2+lY9eHsFp0QB8jHiQjl,77.0,ENG02,12.0,2017.0, CNTN,5.25
1719.0,CB97A650XPvAibaEXe8t2+lY9eHsFofPoQP+L6or,61.0,ENG01,12.0,2017.0, CQUI,3.5
1720.0,42BF12EAXPvAibaEXe8t2+lY9eHsFm5deUeWFd2I,80.0,ENG02,12.0,2017.0, CQUI,5.25
1721.0,4CD815E5XPvAibaEXe8t2+lY9eHsFj0d8P2Y9Uzx,63.0,ENG01,12.0,2017.0, CLC,3.5
1722.0,DDA186B3XPvAibaEXe8t2+lY9eHsFt2+h60gV5FZ,46.0,ENG01,12.0,2017.0, CQUI,3.5
1723.0,B646C4D7XPvAibaEXe8t2+lY9eHsFtgr8DEXq/1u,34.0,AVSC,12.0,2017.0, CLC,1.75
1724.0,2B8081EFXPvAibaEXe8t2+lY9eHsFsZNbw+e7EWx,52.0,ENG01,12.0,2017.0, CQUI,3.5
1725.0,FA7547ADXPvAibaEXe8t2+lY9eHsFuSIz6fx/DtL,59.0,ENG01,12.0,2017.0, CQUI,3.5
1726.0,2DD3E6DFXPvAibaEXe/nw3DhNQnHf1lQPxyt3uHK,39.0,AVSC,12.0,2017.0, CQUI,1.75
