mssv,diem_tt,OTHER,THPT,ĐGNL,hedt_CLC,hedt_CNTN,hedt_CQUI,hedt_CTTT,hedt_KSTN,khoa_CNPM,khoa_HTTT,khoa_KHMT,khoa_KTMT,khoa_KTTT,khoa_MMT&TT,chuyennganh2_7340122_CLC,chuyennganh2_7340122_CQ,chuyennganh2_7480101_CLC,chuyennganh2_7480101_CQ,chuyennganh2_7480101_CTTN,chuyennganh2_7480102_CLC,chuyennganh2_7480102_CQ,chuyennganh2_7480103_CLC,chuyennganh2_7480103_CQ,chuyennganh2_7480104_CLC,chuyennganh2_7480104_CQ,chuyennganh2_7480104_CTTT,chuyennganh2_7480106_CLC,chuyennganh2_7480106_CQ,chuyennganh2_7480109_CQ,chuyennganh2_7480201_CLC,chuyennganh2_7480201_CQ,chuyennganh2_7480202_CLC,chuyennganh2_7480202_CQ,chuyennganh2_7480202_CTTN,noisinh_0,noisinh_1,noisinh_2,noisinh_3,noisinh_4,noisinh_5,noisinh_6,sem1,sem2,sem3,sem4,sem5,sem6,sem7,sem8,sem9,sem10,sem11,sem12,sem13,sem14,sem15,sem16,sem17,sem18,sem19,sem20,sem21,sem22,term 1,term 2,term 3,term 4,term 5,term 6,term 7,term 8,term 9,term 10,term 11,term 12,term 13,term 14,term 15,term 16,label
CEA9ADBDXPvAibaEXe9fw8mX+aV2ox9LBb71AJ4b,23.75,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.32,6.77,-1.0,7.18,7.74,-1.0,6.95,7.48,-1.0,8.19,7.45,-1.0,8.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,65.0,0.0,31.0,0.0,72.0,0.0,80.0,0.0,85.0,0.0,80.0,0.0,85.0,0.0,85.0,0.0,1
F6A3A4AAXPvAibaEXe9fw8mX+aV2o6EZOmQDXHSo,22.75,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.62,7.09,-1.0,7.6,8.36,-1.0,8.19,7.04,-1.0,8.59,8.93,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,94.0,0.0,81.0,0.0,68.0,0.0,99.0,0.0,100.0,0.0,90.0,0.0,76.0,0.0,75.0,0.0,1
EF1D4404XPvAibaEXe9fw8mX+aV2o7Ii+EddSadO,23.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.46,6.3,7.2,7.47,7.4,-1.0,6.79,7.2,-1.0,8.22,7.78,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,97.0,0.0,84.0,0.0,83.0,0.0,96.0,0.0,90.0,0.0,95.0,0.0,85.0,0.0,75.0,0.0,1
81B193F6XPvAibaEXe9fw8mX+aV2o1EPcHr7BtS3,24.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.38,8.58,-1.0,8.05,7.7,-1.0,5.92,7.06,-1.0,6.73,3.89,-1.0,4.47,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,89.0,0.0,85.0,0.0,68.0,0.0,78.0,0.0,76.0,0.0,75.0,0.0,76.0,0.0,75.0,0.0,1
CDDA9B24XPvAibaEXe8scZUjY2tXh313jG4ZsZX/,23.5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.58,8.47,-1.0,7.35,7.57,-1.0,7.89,8.55,-1.0,8.51,8.38,-1.0,7.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,0.0,78.0,0.0,74.0,0.0,90.0,0.0,85.0,0.0,95.0,0.0,86.0,0.0,85.0,0.0,0
CCE66A29XPvAibaEXe8scZUjY2tXh/nnfZ1FSC8S,20.75,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.82,2.51,-1.0,5.83,5.82,-1.0,6.5,6.0,7.3,6.64,6.21,0.0,5.78,7.81,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,68.0,0.0,51.0,0.0,43.0,0.0,67.0,0.0,80.0,0.0,75.0,0.0,80.0,0.0,75.0,0.0,2
3DB34210XPvAibaEXe8scZUjY2tXh0/vfnaoGGi5,23.5,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.78,7.19,-1.0,7.76,8.01,-1.0,7.49,8.08,-1.0,8.52,7.96,-1.0,8.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,84.0,0.0,74.0,0.0,74.0,0.0,86.0,0.0,85.0,0.0,90.0,0.0,76.0,0.0,75.0,0.0,1
9A5B9373XPvAibaEXe8scZUjY2tXhxhcGa9kbq2F,23.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8.09,5.94,-1.0,6.05,5.47,-1.0,3.78,3.0,-1.0,5.14,6.8,-1.0,5.62,7.28,-1.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75.0,0.0,72.0,0.0,62.0,0.0,69.0,0.0,71.0,0.0,70.0,0.0,80.0,0.0,80.0,0.0,2
D45EF757XPvAibaEXe8scZUjY2tXh1CjOAT+J3zC,24.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,8.83,7.29,-1.0,7.61,7.93,-1.0,7.56,8.21,-1.0,6.86,8.05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,79.0,0.0,84.0,0.0,74.0,0.0,81.0,0.0,68.0,0.0,73.0,0.0,76.0,0.0,75.0,0.0,1
36F63D1DXPvAibaEXe8scZUjY2tXh6PZu3eTCqP0,23.25,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.01,7.1,-1.0,7.56,8.13,-1.0,6.49,6.82,-1.0,6.94,8.15,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,67.0,0.0,69.0,0.0,66.0,0.0,75.0,0.0,78.0,0.0,93.0,0.0,76.0,0.0,75.0,0.0,1
