mssv,sem1,sem2,sem3,sem4,sem5,sem6,sem7,sem8,sem9,sem10,sem11,sem12,sem13,sem14,sem15,sem16,sem17,sem18,sem19,sem20,sem21,sem22,term 1,term 2,term 3,term 4,term 5,term 6,term 7,term 8,term 9,term 10,term 11,term 12,term 13,term 14,term 15,term 16
0085722BXPvAibaEXe/baq/wvVlH/v1E0JmnRemC,5.99,5.63,-1.0,4.73,5.99,-1.0,6.48,7.54,-1.0,5.77,6.45,-1.0,7.37,5.8,-1.0,3.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,80.0,0.0,90.0,0.0,76.0,0.0,78.0,0.0,80.0,0.0,79.0,0.0,81.0,0.0,72.0,79.0
008C7E44XPvAibaEXe80NXGyYVtTlnHRV1DTnuqi,7.63,8.02,-1.0,7.75,8.37,-1.0,5.96,7.21,-1.0,6.27,8.4,-1.0,7.72,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,68.0,0.0,86.0,0.0,80.0,0.0,80.0,0.0,75.0,0.0,75.0,0.0,72.0,0.0,81.0,0.0
00A65C83XPvAibaEXe+BUGeEgVnB4GtsCU49A5+8,7.22,5.29,-1.0,6.67,5.96,3.5,7.72,7.34,-1.0,6.25,6.04,8.0,8.4,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,0.0,64.0,0.0,56.0,0.0,52.0,0.0,82.0,0.0,90.0,0.0,86.0,0.0,75.0,0.0
00A6F5DAXPvAibaEXe/zT99h3DDtvT/brt/zZ/RZ,3.54,4.6,-1.0,6.04,5.79,0.0,6.73,7.62,-1.0,7.28,5.23,-1.0,5.95,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,85.0,0.0,80.0,0.0,100.0,0.0,70.0,0.0,96.0,0.0,84.0,84.0,60.0,67.0,-1.0,-1.0
00ACD5A5XPvAibaEXe+pDN88/1DR4LBrQbT3YaE1,6.18,5.46,4.9,5.67,4.86,-1.0,5.85,6.71,-1.0,3.78,5.05,0.0,4.08,2.21,-1.0,1.61,4.76,-1.0,3.0,4.27,-1.0,0.57,56.0,56.0,51.0,0.0,55.0,0.0,50.0,0.0,61.0,0.0,65.0,0.0,63.0,0.0,68.0,0.0
00AD2952XPvAibaEXe/45+b0LBlJ7GBrgcGKBM3K,5.81,5.96,8.5,7.22,6.08,-1.0,6.93,6.6,-1.0,6.47,6.46,-1.0,6.64,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,80.0,0.0,70.0,0.0,68.0,0.0,76.0,0.0,80.0,0.0,75.0,0.0,70.0,0.0,83.0,0.0
00BCE333XPvAibaEXe9upvU5DvuC9h+K5WaA2XCn,5.86,-1.0,-1.0,5.53,6.24,6.4,5.87,6.94,4.3,7.01,7.53,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,61.0,0.0,57.0,57.0,60.0,60.0,88.0,0.0,70.0,0.0,68.0,0.0,70.0,0.0,65.0,0.0
00BEC077XPvAibaEXe9+dT4FRTt+Q2alofVR9t4x,8.03,6.17,-1.0,6.65,7.17,-1.0,6.58,6.06,-1.0,6.75,3.93,-1.0,7.88,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,75.0,0.0,54.0,0.0,52.0,0.0,67.0,0.0,76.0,0.0,80.0,0.0,80.0,0.0,70.0,0.0
00BF5175XPvAibaEXe+Em+qhkpGqwOeIgsMQfSaq,7.23,6.92,-1.0,5.62,6.99,-1.0,4.35,7.34,-1.0,7.62,7.91,-1.0,7.61,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,80.0,0.0,80.0,0.0,79.0,0.0,81.0,0.0,76.0,0.0,91.0,84.0,74.0,71.0,-1.0,-1.0
00C1823FXPvAibaEXe92T150Nt0xZm0PNPjZ334J,5.62,7.07,-1.0,7.91,8.25,-1.0,8.59,5.41,-1.0,7.92,-1.0,-1.0,8.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,85.0,0.0,80.0,0.0,90.0,0.0,90.0,0.0,100.0,0.0,100.0,94.0,75.0,83.0,-1.0,-1.0
