mssv,sem1,sem2,sem3,sem4,sem5,sem6,sem7,sem8,sem9,sem10,sem11,sem12,sem13,sem14,sem15,sem16,sem17,sem18,sem19,sem20,sem21,sem22,term 1,term 2,term 3,term 4,term 5,term 6,term 7,term 8,term 9,term 10,term 11,term 12,term 13,term 14,term 15,term 16
83845261XPvAibaEXe9hPQQhQOOPyYvq0zhwjv2w,0.661,0.8550000000000001,-1.0,0.8230000000000001,0.8560000000000001,-1.0,0.9259999999999999,0.933,-1.0,0.9470000000000001,0.93,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.86,0.89,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
839A1A0CXPvAibaEXe+uQMKXqrwYdgr0jNDc3VDK,0.706,0.73,-1.0,0.799,0.776,-1.0,0.828,0.8,-1.0,0.8119999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9,0.9,1.0,0.99,0.88,0.84,0.8,0.82,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
83C18F25XPvAibaEXe+cHxM5cHw4WsUHwqR7ET9a,0.897,0.635,-1.0,0.725,0.8230000000000001,-1.0,0.783,0.8240000000000001,-1.0,0.72,0.7889999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9,0.7,0.68,0.8,1.0,0.8,0.95,0.75,0.53,0.58,0.4125,0.45454545454545453,-1.0,-1.0,-1.0,-1.0
83C28D63XPvAibaEXe/GFbVLDV6SZHSpHddxdRyT,0.6519999999999999,0.595,-1.0,0.712,0.6980000000000001,-1.0,0.6599999999999999,0.71,-1.0,0.7809999999999999,0.52,-1.0,0.8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.97,0.97,0.96,0.96,0.82,0.95,0.6,0.81,0.8,0.79,0.6,0.7792207792207793,-1.0,-1.0,-1.0,-1.0
83D3F6C9XPvAibaEXe/Dy4K4yiQpOP6IiL6XGDu/,0.618,0.786,-1.0,0.758,0.75,-1.0,0.661,0.717,-1.0,0.679,0.554,-1.0,0.759,0.8699999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.85,0.88,0.88,0.88,0.88,0.91,0.79,0.89,0.54,0.79,0.7,0.7792207792207793,0.2222222222222222,-1.0,-1.0,-1.0
83DCA101XPvAibaEXe9Z0fDyfUkzH4vSGY2cA9D0,0.8029999999999999,0.6839999999999999,-1.0,0.782,0.7889999999999999,-1.0,0.615,0.438,-1.0,0.481,0.6799999999999999,-1.0,0.747,0.78,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.81,0.59,0.46,0.73,0.76,0.85,0.81,0.9,0.81,0.66,0.4125,-1.0,-1.0,-1.0,-1.0,-1.0
83F67FBFXPvAibaEXe95BgJyC1XgNcM67ghVT2ss,0.8009999999999999,0.758,-1.0,0.712,0.8480000000000001,-1.0,0.8779999999999999,0.827,-1.0,0.5269999999999999,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.78,0.89,0.83,0.9,1.0,1.0,0.82,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
83FAA9CAXPvAibaEXe+oo0hccQuSuOtStIwkWhsf,0.561,0.649,-1.0,0.519,0.743,-1.0,0.733,0.762,-1.0,0.768,0.748,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.85,0.75,0.85,0.79,0.74,0.74,1.0,0.77,0.58,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
841DAEEEXPvAibaEXe9IFJLLU9DVVSo/AjzcgSIW,0.8009999999999999,0.788,-1.0,0.8539999999999999,0.713,-1.0,0.6849999999999999,0.714,-1.0,0.766,0.647,-1.0,0.85,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.78,0.9,0.95,0.8,0.8,0.75,0.89,0.72,0.73,0.58,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8442D4A1XPvAibaEXe8n6FFpptVzUnUcDJxNSI27,0.612,0.513,0.6900000000000001,0.546,0.585,-1.0,0.554,0.6839999999999999,0.4,0.302,0.45099999999999996,-1.0,0.061,0.413,-1.0,0.056999999999999995,0.4,-1.0,0.639,0.0,-1.0,0.0,0.95,0.62,0.58,0.67,0.75,0.75,0.71,0.7,0.68,0.58,0.475,0.6493506493506493,-1.0,-1.0,-1.0,-1.0
844BA991XPvAibaEXe8ZQB/g2cpypMy8eFWE0KZT,0.548,0.65,-1.0,0.688,0.49000000000000005,-1.0,0.261,0.11599999999999999,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9,0.75,0.72,0.66,0.71,0.66,0.58,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
844FC6F6XPvAibaEXe+Y5CB/5gt3MJxEmi5bZKP2,0.673,0.638,-1.0,0.725,0.65,-1.0,0.783,0.6769999999999999,-1.0,0.74,0.8009999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.87,0.86,0.86,0.93,0.93,0.75,0.84,0.72,0.74,0.48,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
8474C347XPvAibaEXe+/1KYXP+fweAETvLS68nEF,0.682,0.591,-1.0,0.8210000000000001,0.796,-1.0,0.721,0.78,-1.0,0.808,0.9650000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.66,0.67,0.9,0.85,0.76,0.8,0.76,0.81,0.78,0.58,0.475,0.7662337662337663,-1.0,-1.0,-1.0,-1.0
848AB351XPvAibaEXe+SgbKufUiN7OKpFsodMp2m,0.654,0.506,-1.0,0.501,0.434,-1.0,0.5389999999999999,0.346,0.71,0.40800000000000003,0.45899999999999996,-1.0,0.264,0.399,-1.0,0.371,0.075,-1.0,0.0,-1.0,-1.0,-1.0,0.77,0.56,0.62,0.48,0.75,0.7,0.71,0.7,0.5,0.5,0.475,0.45454545454545453,-1.0,-1.0,-1.0,-1.0
84BEB79DXPvAibaEXe+SIoKUNff6nCIYWlwEOHBY,0.775,0.687,-1.0,0.775,0.828,-1.0,0.6990000000000001,0.8220000000000001,-1.0,0.889,0.5980000000000001,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.88,1.0,0.86,1.0,0.86,1.0,0.93,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
84CF78A7XPvAibaEXe9Z0fDyfUkzHzM2esLePC79,0.772,0.42000000000000004,-1.0,0.5309999999999999,0.638,-1.0,0.596,0.53,0.645,0.6940000000000001,0.688,-1.0,0.786,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.83,0.49,0.71,0.78,0.84,0.8,0.8,0.75,0.63,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
84E78EF7XPvAibaEXe/AdnwkoyhfDuNWqr7keeGm,0.657,0.613,-1.0,0.617,0.735,-1.0,0.655,0.775,-1.0,0.72,0.687,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9,0.9,0.76,0.75,0.81,0.88,0.74,0.72,0.66,0.66,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
